ear,blink_rate,smile_ratio,brow_furrow_score,movement_code,tilt_code,emotion,fatigue_score,Predicted_Label
0.0,0,0.0,0.0,1,0,1,0.0,Stressed
0.1659167311189197,30,6350590.523722971,135.6244815658294,0,1,2,6.17556245166081,Relaxed
0.20674391234269365,78,6600757.532283699,133.0,0,0,1,15.74494206574298,Relaxed
0.2116874291514101,6,6300793.600809345,131.01526628603247,0,0,1,1.3412344281364426,Relaxed
0.20370991800037602,42,6299999.999999999,132.00378782444085,0,0,1,8.547217561499718,Relaxed
0.20964208446106775,30,60.00773267738321,131.0,0,0,1,5.964342243725495,Relaxed
0.19066186888397263,6,65.0070417821622,132.0,1,0,1,1.1595526547049249,Relaxed
0.2492113655061541,96,61.521738443703654,131.52946437965906,0,2,1,14.191078636694947,Relaxed
0.25311648485317273,54,6129437.168288781,134.5362404707371,0,1,1,7.16515445043963,Relaxed
0.276150622065387,48,43.931325959717995,101.24228365658294,1,2,1,5.7483365425522726,Relaxed
0.21751095913275223,30,6896375.859826666,134.2013412749664,0,1,1,3.3544269591059637,Relaxed
0.19576285907008717,36,5557877.292636101,119.5198728245642,1,1,1,3.697361356457937,Relaxed
0.2153508102685936,24,58.033892175265876,139.01438774457844,1,0,0,2.3219568699087247,Relaxed
0.24150037209211916,36,5903388.857258176,130.09611831257686,1,0,0,3.1631448862733302,Relaxed
