ear,blink_rate,smile_ratio,brow_furrow_score,movement_code,tilt_code,emotion,fatigue_score,Predicted_Label
0.23108226638305307,0,5643580.423808984,123.47064428438041,1,2,0,0.12668830021271021,Relaxed
0.2811248103251808,30,53.084306916878816,116.01724009818541,1,0,0,6.089156392256115,Relaxed
0.27614813783223213,18,6618912.297349164,142.68847185389575,1,2,0,3.692888896625826,Relaxed
0.11749917453521058,24,6846897.107449476,156.01602481796542,1,2,0,5.011875619098593,Relaxed
0.29420601189187334,12,26.104403871841168,168.96153408394468,0,1,0,2.437205204520809,Relaxed
0.23311704135743283,36,8551023.330572778,165.73774464496614,0,1,0,6.202572504011011,Relaxed
0.23458187223842067,114,89.82114808006168,167.35889578985635,0,1,0,16.993991193241957,Relaxed
0.20211992382449506,90,97.29239786766365,172.69626515938322,0,1,0,12.00109043627363,Relaxed
0.21430314041219178,24,11.79542349796176,169.77926846349644,0,1,0,2.987554174340368,Relaxed
0.24645680891832367,66,10000000.0,167.10774967068403,0,0,0,7.242344551840621,Relaxed
0.25602164624499807,36,85.70795226934177,170.84788555905513,0,1,0,3.6740331113773386,Relaxed
0.22994383641249186,54,8811923.74002408,171.14321488157222,0,1,0,5.068819675657801,Relaxed
0.24546682680059267,42,78.40839905166011,164.47796204963143,0,2,0,3.686220358340411,Relaxed
0.2519197415882459,6,30.438247279538256,108.16653826391968,0,0,0,0.5873515700957864,Relaxed
0.3612380182656435,18,18.160315256044207,94.0,0,0,0,1.369311898510035,Relaxed
0.28235667771200235,12,27.321958989203733,97.04638066409278,0,0,0,0.9294559999642698,Relaxed
