ear,blink_rate,smile_ratio,brow_furrow_score,movement_code,tilt_code,emotion,fatigue_score,Predicted_Label
0.0,0,0.0,0.0,1,0,1,0.0,Stressed
0.22958062517150352,12,6120457.499239742,130.98091464026353,0,2,1,2.527814531121373,Relaxed
0.2800579476058068,42,75.32520508901503,151.74320413119,0,2,1,8.489956539295646,Relaxed
0.2115463292982066,72,7224956.747275376,147.33974345029924,0,2,1,14.541340253026345,Relaxed
0.24958494302646858,12,72.24884498430391,146.27713423498562,0,2,1,2.180879857798952,Relaxed
0.2689544975460344,60,70.70997101894456,149.96666296213968,0,2,1,9.134287074962078,Relaxed
0.2561861857756711,12,64.19437343908174,147.33974345029924,0,2,1,1.6923821787203654,Relaxed
0.23108604685816714,126,7034912.934784622,148.86235252742716,1,2,1,15.112729764855068,Relaxed
0.21583094545653694,162,7333484.846919641,149.56603892595405,0,2,1,17.657926570149012,Relaxed
0.21927867263451556,156,7117583.859709698,150.26975743641833,0,2,1,15.603148663207929,Relaxed
0.21843049115933555,96,7211102.550927978,150.33296378372907,0,2,1,8.927919871616758,Relaxed
0.187174177359148,78,7184010.022264723,147.05441169852742,0,2,0,6.796433273977992,Relaxed
0.1997651240728236,36,7236711.96055225,148.1924424523734,0,2,1,3.009205693238387,Relaxed
0.20479106389516222,6,7158910.531638175,147.95945390545344,0,2,1,0.5931183190635703,Relaxed
0.24257072653134457,36,7443117.626371358,154.63505424062166,0,2,1,2.641876126094131,Relaxed
0.2822747739214184,48,47.92681353006104,201.357890334598,1,2,1,3.2665180111247865,Relaxed
0.2344545356688688,60,17.429365592336364,192.02343606966312,1,0,1,3.889001111990893,Relaxed
