ear,blink_rate,smile_ratio,brow_furrow_score,movement_code,tilt_code,emotion,fatigue_score,Predicted_Label
0.279,0,6519202.405,124.58,1,0,1,0.09,Relaxed
0.286,0,64.124,124.58,1,0,1,0.09,Relaxed
0.284,0,65.191,125.57,1,0,1,0.09,Relaxed
0.276,0,6207253.821,125.48,1,0,1,0.09,Relaxed
0.274,0,6212889.827,125.48,1,0,1,0.09,Relaxed
0.284,0,6612110.102,125.48,1,0,1,0.09,Relaxed
0.301,0,6312685.641,125.57,1,0,1,0.07,Relaxed
0.294,0,6307138.812,125.48,1,0,1,0.08,Relaxed
0.294,0,64.07,125.48,1,0,1,0.08,Relaxed
0.309,0,6606814.664,124.49,1,0,1,0.07,Relaxed
0.302,0,64.124,125.48,1,0,1,0.07,Relaxed
0.305,0,64.124,124.49,1,0,1,0.07,Relaxed
0.276,0,63.126,125.57,1,0,1,0.09,Relaxed
0.303,0,63.126,124.49,1,0,1,0.07,Relaxed
0.284,0,6319810.124,125.48,1,0,1,0.09,Relaxed
0.282,0,6412487.817,124.58,1,0,1,0.09,Relaxed
0.283,0,6512296.062,124.58,1,0,1,0.09,Relaxed
0.279,0,6512296.062,126.57,1,0,1,0.09,Relaxed
0.284,0,6506919.394,124.58,1,0,1,0.09,Relaxed
0.269,0,6312685.641,125.48,1,0,1,0.1,Relaxed
0.273,0,6312685.641,124.58,1,0,1,0.1,Relaxed
0.283,0,6618912.297,124.58,1,0,1,0.09,Relaxed
0.276,0,6512296.062,124.58,1,0,1,0.09,Relaxed
0.283,0,6207253.821,124.58,1,0,1,0.09,Relaxed
0.283,0,6212889.827,124.58,1,0,1,0.09,Relaxed
0.276,0,6307138.812,124.49,1,0,1,0.09,Relaxed
0.284,0,6512296.062,124.58,1,0,1,0.09,Relaxed
0.28,0,64.124,124.58,1,0,1,0.09,Relaxed
0.272,0,6606814.664,126.57,1,0,1,0.1,Relaxed
0.273,0,6412487.817,126.57,1,0,1,0.1,Relaxed
0.276,0,65.069,125.57,1,0,1,0.09,Relaxed
0.291,0,6312685.641,124.49,1,0,1,0.08,Relaxed
0.278,0,6612110.102,125.67,1,0,1,0.09,Relaxed
0.283,0,6307138.812,125.48,1,0,1,0.09,Relaxed
0.284,0,6412487.817,126.57,1,0,1,0.09,Relaxed
0.255,0,6512296.062,125.67,1,0,1,0.11,Relaxed
0.278,0,6412487.817,125.67,1,0,1,0.09,Relaxed
0.269,0,65.191,124.58,1,0,1,0.1,Relaxed
0.271,0,6419501.538,125.67,1,0,1,0.1,Relaxed
0.273,0,65.191,124.58,1,0,1,0.1,Relaxed
0.26,0,6412487.817,124.68,1,0,1,0.1,Relaxed
0.27,0,65.191,125.57,1,0,1,0.1,Relaxed
0.266,0,63.126,125.57,1,0,1,0.1,Relaxed
0.275,0,6419501.538,124.68,1,0,1,0.09,Relaxed
0.264,0,6512296.062,124.49,1,0,1,0.1,Relaxed
0.277,0,6512296.062,126.57,1,0,1,0.09,Relaxed
0.289,0,6706713.055,124.68,1,0,1,0.08,Relaxed
0.253,0,6319810.124,125.67,1,0,1,0.11,Relaxed
0.283,0,6319810.124,125.57,1,0,1,0.09,Relaxed
0.265,0,62.128,125.67,1,0,1,0.1,Relaxed
0.255,0,6319810.124,125.57,1,0,1,0.11,Relaxed
0.281,0,6312685.641,125.57,1,0,1,0.09,Relaxed
0.268,0,6506919.394,124.58,1,0,1,0.1,Relaxed
0.276,0,63.197,125.78,1,0,1,0.09,Relaxed
0.273,0,6419501.538,125.78,1,0,1,0.1,Relaxed
0.27,0,6319810.124,125.57,1,0,1,0.1,Relaxed
0.26,0,6612110.102,124.58,1,0,1,0.1,Relaxed
0.276,0,6419501.538,125.67,1,0,1,0.09,Relaxed
0.257,0,6412487.817,124.68,1,0,1,0.11,Relaxed
0.26,0,6519202.405,125.57,1,0,1,0.11,Relaxed
0.256,0,6419501.538,124.58,1,0,1,0.11,Relaxed
0.263,0,6512296.062,125.57,1,0,1,0.1,Relaxed
0.256,0,65.122,125.57,1,0,1,0.11,Relaxed
0.244,0,65.191,125.57,1,0,1,0.12,Relaxed
